Year,Afghanistan,Algeria,Argentina,Brazil,China,France,Germany,Greece,India,Italy,Iran,Iraq,Japan,Rwanda,Russia,Saudi Arabia,South Africa,Syria,UK,USA
1960,59.7773265083934,244.824806483632,,433.941193590145,89.5205415103584,1338.29960630568,,533.686381232649,81.2847637465264,804.492623346178,191.680877458532,231.025617243714,478.995340162869,40.5668807961198,,,433.941193590145,187.537374273096,1380.30624126257,3007.12344537862
1961,59.8781528089471,213.485905063471,,444.896268303603,75.8058379259965,1440.55433032888,,597.287321012322,84.4264369270641,887.336744604475,196.924678820004,245.03198833228,563.586759838827,40.7196618532917,,,444.896268303603,200.183356899708,1452.54470901356,3066.56286916615
1962,58.4928738323479,171.209809463866,1148.57995706663,461.798232165316,70.9094116671007,1585.91726742846,,630.61394129381,88.9149186019488,990.26015216342,203.436311458713,254.701334086896,633.640315173776,40.9754946889206,,,461.798232165316,227.788663942808,1513.65144854926,3243.84307754988
1963,78.7827580362892,225.530596175825,845.077184202247,498.601747197672,74.3136434486145,1752.96440283546,,701.62041775285,100.048591714954,1126.01933699825,208.130832177464,250.787078237018,717.866915230894,41.2507750633908,,,498.601747197672,238.437306089769,1592.61447661562,3374.51517105082
1964,82.2084438594401,236.610189565084,1166.31739957616,534.374176248077,85.4985551596313,1919.26671770559,,784.954348432918,114.315160943256,1222.5445404629,221.31918855495,288.163481655289,835.657252484116,41.1168065270719,,,534.374176248077,257.578412322649,1729.39997803568,3573.94118474743
1965,101.290471274167,248.37814358709,1272.01049600796,568.348265319892,98.4867777522206,2042.24038372783,,888.921997905322,118.063382468569,1304.45381661965,248.338664386555,312.822277421474,919.776688184802,46.0262968560447,,,568.348265319892,273.962221828686,1850.95476855498,3827.52710972039
1966,137.899361896954,234.188908344417,1266.34498858151,603.069811446582,104.324566181147,2189.67088787159,,981.652394470053,89.0535834802345,1402.44235441032,264.976773617847,313.817445557465,1058.50356090902,37.5181158094747,,,603.069811446582,241.712244801693,1959.62782962126,4146.31664631665
1967,161.322000088481,252.418252162025,1057.7556614712,654.626304388781,96.5895319417819,2346.36295154832,,1052.12099276566,95.3307829432758,1533.69287748547,287.079167389165,330.885201724653,1228.9092104006,46.6779464865312,,,654.626304388781,275.267309289062,2023.62756371118,4336.42658722171
1968,129.506653844251,280.268288209403,1136.51783223167,688.830621769072,91.4727183066072,2532.3147484766,,1134.35615147538,98.8312346815908,1651.93937679756,318.987576000733,376.889927162286,1450.61965234374,48.8197273636811,,777.31574821932,688.830621769072,295.449415865686,1896.38674860735,4695.92339043178
1969,129.798541408375,300.981825658516,1324.08293470701,755.181916401864,100.12990326618,2725.21764331867,,1284.21231559082,106.496379410978,1813.38812575706,350.909574532475,388.104543264843,1669.09819990781,51.8322538840534,,801.08493715019,755.181916401864,365.693764242684,2032.34700964503,5032.14474262003
1970,157.187422389233,334.259527686164,1317.48775502669,806.413063053364,113.162991554686,2862.46926773347,2750.71974235504,1494.38785525349,111.257570649242,2099.91429122268,384.942179433737,468.842110341913,2027.0658807455,58.5690783507225,,921.345944098883,806.413063053364,337.039583863198,2347.54431773747,5246.88371730098
1971,160.372835554154,339.384049071749,1366.35472649443,865.917224631812,118.654577785346,3173.8400260794,3180.05592702963,1652.3265992595,117.360738102758,2298.00453915893,468.961984991785,1018.07391281357,2260.37594668649,57.6352520983515,,1177.65291157431,865.917224631812,394.142148127187,2649.80151387223,5623.44397840712
1972,136.117014381199,439.731123857229,1401.48779454318,884.463141591796,131.883561243868,3857.37278960172,3795.56608060014,1899.6752725147,121.692288580487,2662.3263507404,570.369531596925,1151.81772868642,2951.76087481801,61.8665658399681,,1511.4666427927,884.463141591796,449.94392940759,3030.43251411977,6109.92586804894
1973,144.110318929266,551.434441695138,2083.97221812887,1179.79501908466,157.090374298657,4965.85476882631,5027.66030875905,2502.81435849334,142.270081312854,3194.67928059147,876.30924053118,1471.21133887792,3977.25108639574,70.8735755066269,,2226.27042663656,1179.79501908466,460.295067997449,3426.27622050378,6741.33236436395
1974,174.94203831954,813.049902670207,2824.65091518844,1442.28238610292,160.140093727686,5317.61951021977,5617.74172094103,2828.74843219735,161.763010637255,3609.20119743019,1453.77898955368,1592.02853936137,4331.40090491932,72.9768373617611,,6433.03713161594,1442.28238610292,708.421225551723,3665.8627976419,7242.44110467889
1975,187.975604013726,931.105517329,2011.68904032488,1454.08033061963,178.341819608096,6672.51138816429,6212.76312670789,3153.23530574717,156.380095050012,4093.44660431927,1581.89263615434,1847.89656657611,4635.12430357985,131.188627296722,,6296.30343353271,1454.08033061963,905.95008871154,4299.74561799284,7820.06547114686
1976,199.026172729051,1031.30313516839,1932.590782074,1360.4449572284,165.40554037242,6846.35219681131,6609.75339228261,3390.54548359296,159.407798449304,4019.79586113111,2017.18427491874,2852.39336027687,5171.03649420484,141.738612391062,,8186.31971199746,1360.4449572284,979.327765672517,4138.16778761535,8611.40183915427
1977,226.005343759305,1185.51063534845,2112.50117336788,1472.96034140733,185.422832913673,7513.34497298839,7653.88471144611,3886.37425270915,184.272874918187,4588.41434458156,2315.38203622545,3911.54300303153,6303.15649435419,160.652411732618,,9012.6116342239,1472.96034140733,954.7632405209,4681.43993173038,9471.3061719314
1978,249.287386261794,1447.6180205344,2129.31379311298,1651.61257880039,156.396388520044,9248.4416311044,9446.16678520783,4694.63368334781,203.558704556689,5591.99142733733,2168.15587078476,2735.54850760637,8776.40845524074,188.543088388738,,9247.3616431461,1651.61257880039,1112.61252801617,5976.93816899991,10587.2857560033
1979,277.900741665078,1771.965548606,2501.48075287736,1986.66888588674,183.983152215978,11170.4601663549,11238.3406747631,5705.94927419931,221.687947435252,6967.22777299274,2426.45437270109,2950.15918295883,9058.24202161979,223.295027515461,,12185.6530098089,1986.66888588674,1151.17540559969,7804.76208051155,11695.5544200307
1980,274.880858701521,2189.77667951046,2738.28472318497,2788.39935257825,194.804722186836,12712.6013994711,12092.3818542945,5893.66180979161,263.840719769486,8429.02315340573,2440.30564581101,2738.13735233859,9416.63028046057,244.083771585875,,16892.3634017515,2788.39935257825,1462.63034143891,10032.062080015,12597.6675101771
1981,266.493041808705,2223.69734407236,2756.39698132362,2935.50033949534,197.071474499102,11110.5597678072,10170.4462754224,5380.26768284354,267.711010277569,7597.68879854386,2498.88706142888,3077.99847208506,10331.7414650555,264.732669084992,,17777.3533839748,2935.50033949534,1677.12624436936,9599.30622221965,13993.166743657
1982,,2197.11050017923,2907.75762701156,2639.52181213358,203.334919503464,10505.7354723033,9876.22823170597,5579.23477158982,271.33359614751,7531.59762752249,3007.13315834473,3099.8815254079,9539.08030996538,256.360009529794,,13870.1944193231,2639.52181213358,1699.5328053309,9146.07735701852,14438.9762759859
