Year,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cote d'Ivoire,Croatia,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1950,,,,,,2600.2993,,,12282.998,5246.9312,,,,,,,7139.939,,,,,2201.563,,,1509.8824,,,,,,,,11186.318,,,,,,,3118.0522,,,3229.2371,,,,2943.5461,,1968.9836,9305.4785,,,,3044.3752,626.48737,1613.5118,,,414.22104,,5839.8755,6849.999,,,,4643.5112,,,,2099.7407,,,,2108.802,,,8076.3271,841.39923,,,,4853.6875,5140.3457,4076.8054,,2530.6658,,,1509.1199,,,,,,,,,12737.883,,,,,,,,,,4620.7275,4487.7998,,,,,1252.4442,,,,,7835.3999,10702.95,3271.9333,,2633.4976,8509.9873,,1267.7638,,1984.4452,,2061.8445,1352.0715,,2649.24,,,,,,,,,,,,,,,,,,5200.7158,,3432.3257,2542.4768,,,,9136.6416,14172.437,,,,,1084.7904,,5280.3335,,3101.5332,,,827.65448,,,9354.2959,14569.096,5899.4688,,5435.6143,,,,
1951,,,,,,2608.6318,,,11561.024,5512.0391,,,,,,,7406.54,,,,,2336.6833,,,1511.3116,,,,,,,,11304.809,,,,,4154.3931,,3068.198,,,3244.0891,,,,3058.4482,,2255.9053,9073.2695,,,2212.4141,3069.4133,641.51685,1573.9303,,,463.25787,,6513.0107,7164.561,,,,5114.6157,,3386.5408,,2071.2405,,,,2111.5491,,,7801.8613,861.47028,,,,4918.7222,5955.4785,4413.1992,,2754.3992,,,1748.6736,,,,,,,,,13413.831,,,,,,,,,,4626.6353,4723.7607,,,,,1226.8829,,,,,8090.6123,9640.2705,3629.3398,,2775.1907,8877.458,,1262.0482,,1913.9783,1793.6652,2167.0757,1348.3982,,2937.8635,,,,,,,,,,,,,,,,,,5289.7808,,4010.4631,2678.7837,,,,9337.2783,15209.594,,1589.0175,,,1017.95,,5687.4644,,3737.2642,,,1004.7547,,,9624.0811,15392.32,6857.5845,,5765.9346,,,,
1952,,,,,,2332.4087,,,11111.49,5664.1211,,,,,,,7527.6045,,,,,2276.1094,,,1624.7908,,,,,,,,11900.952,,,,,4410.8315,1072.839,3171.8223,,,3551.5273,,,,3348.5081,,2373.48,9197.2832,,,2256.9478,3267.4329,603.09406,1651.7996,,,469.06461,,6596.8906,7306.8262,,,,5555.6348,,3270.8904,,2063.2307,,,,2060.4346,,,7597.3101,873.0033,,,,5118.5718,5294.1821,4528.5869,,2983.0779,,,1571.3936,,,,,,,,,14670.81,,,,,,,,,,4598.481,4787.4014,,,,,1274.0981,,,,,8188.0938,9863.2871,4068.833,,2988.4771,9230.418,,1212.23,,2006.047,1706.6143,2235.344,1431.11,,3044.1665,,,,,,,,,,,,,,,,,,4809.0493,,4166.0879,2490.2446,,,,9353.9639,15015.441,,1706.5142,,,985.90491,,5830.7817,,4074.0762,,,924.09192,,,9560.6494,15640.824,6432.561,,6327.9722,,,,
1953,,,,,,2439.375,,,12323.385,5943.1113,,,,,,,7723.5298,,,,,1841.4871,,,1625.7939,,,,,,,,12132.623,,,,,4440.354,1189.8024,3336.925,,,4100.478,,,,3722.2913,,2641.2695,9718.8516,,,2200.1462,3386.5562,588.95483,1725.6301,,,493.86542,,6444.7466,7539.25,,,,5992.0977,,3691.3625,,2066.7576,,,,2146.6821,,,8599.5098,903.9762,,,,5245.5342,5098.7344,4829.3013,3249.1072,3069.7446,,,1453.6486,,,,,,,,,13176.89,,,,,,,,,,4389.5337,4590.2207,,,,,1268.6534,,,,,8769.292,9936.4551,4167.0264,,2847.8457,9597.2236,,1235.9426,,2107.7417,1584.0127,2294.584,1551.5646,,3180.5046,,,,,,,,,,,,,,,,,,5189.3135,987.60455,3982.0105,2464.9514,,,,9633.542,15410.788,,1820.7499,,,882.38257,,5895.2324,,4438.7686,,,742.17108,,,10023.388,16093.898,6641.4575,,6236.8477,,,,
1954,,,,,,2503.2183,,,12957.638,6368.3569,,,,,,,8045.1558,,,,,1878.9253,,,1715.1316,,,,,,,,11717.3,,,,,4656.603,1068.9464,3541.0166,,,4119.4692,,,,4146.4644,,2680.4602,9956.374,,,2339.0146,3676.5874,595.81879,1688.427,,,489.18375,,7086.7051,7913.7588,,,,6479.2505,,3716.6035,,2037.5037,,,,1931.7637,,,9285.5449,926.55969,,,,5327.4468,5925.2485,5005.9888,3566.6011,3194.9885,2181.084,,1555.2646,,,,,,,,,12713.031,,,,726.88422,,,,757.90302,,4189.4863,4947.4775,,,,,1301.2936,,,,,9185.4697,10721.749,4389.2583,,3029.6421,9754.3604,,1217.2192,,2181.7661,1679.176,2379.4121,1617.9122,,3293.7673,,,,,,,,,,,,,,,,,,5512.5615,1012.9329,4467.3735,2562.9224,,,,10086.956,16279.411,,1917.5441,,,931.67029,,6080.7866,,3950.2209,,,788.23627,,,10373.893,15756.412,7229.105,,6617.6489,,,,1608.9381
1955,,,,,,2636.332,,,13298.647,6989.8501,,,,,,,8354.7041,,,,,2008.0735,,,1791.8883,,,,,,,,12429.252,,,,,4463.813,1168.6884,3560.8621,,,4327.0483,,,,4229.5479,,2807.5347,9831.3359,,,2286.8171,3733.9758,604.42969,1724.121,,,491.27029,,7582.1191,8272.9287,,,,7355.8149,3603.7913,3945.0283,,1992.176,,,,1907.3972,,,10282.017,931.11743,,2574.6235,,5497.2363,6508.0713,5318.5649,3864.0112,3411.9163,1734.1313,,1603.3361,,,,,,,,,13506.148,,,,759.78223,2144.4072,,,779.41937,,4265.0938,5200.2578,,,,,1250.8392,,,,,9843.7998,10883.321,4579.6558,,3208.3579,9979.1855,,1171.6591,,2283.2322,1759.0658,2443.0,1699.7253,,3389.4692,,,,,,,,,,,,,,,,,,5597.5991,1073.8634,4669.9365,2704.6228,,,,10305.397,17306.256,,1989.7933,,,834.88171,,6696.439,,4194.5649,,,774.2298,,,10766.068,16666.355,7330.9541,,6744.7095,,,1217.2538,1613.408
1956,,,,,,2657.2512,,,13162.046,7489.9609,,,,,,,8555.5527,,,,,1857.4048,,,1802.1897,,,,,,,,13143.953,,,,,4303.2896,1200.0706,3528.155,,,4054.9792,,,,4645.1797,,2840.6545,9986.4629,,,2380.5532,3739.9634,611.65186,1778.9988,,,505.72598,,7635.3066,8608.1299,,,,7869.8604,3610.0535,4267.145,,2068.4626,,,,2092.6111,,,10074.53,955.17535,,2736.8606,,5464.7383,6880.0884,5489.1069,4236.1753,3609.3303,2404.8975,,1614.939,,,,,,,,,14811.331,,,,798.06122,2224.3472,,,1035.301,,4263.3862,5399.6929,,,,,1245.5592,,,,,10105.561,10914.868,4425.9893,,3029.9875,10265.88,,1223.4226,,2317.8279,1764.4285,2463.9507,1711.3372,,3517.436,,,,,,,,,,,,,,,,,,5803.4238,1075.7404,4969.4551,2455.7817,,,,10568.197,18310.848,,2029.5502,,,848.42175,,7264.2896,,4104.7021,,,763.26202,,,10947.344,16746.922,7210.8779,,6982.8062,,,1340.5245,1706.7051
1957,,,,,,2748.3992,,,12961.374,7869.4209,,,,,,,8635.002,,,,,1791.9556,,,1906.559,,,,,,,,13025.461,,,,,4641.9248,1206.443,3409.3296,,,4189.8511,,,,4611.8481,,2750.9404,10453.609,,,2465.4302,3756.5686,622.40955,1817.2959,,,492.6412,,7625.1011,8993.5381,,,,8259.2988,3415.5493,4565.2417,,2110.7163,,,,2071.0588,,,9897.0635,941.17499,,3104.4678,,5466.3364,7064.8188,5692.8047,4720.292,3834.9121,2400.4033,,1642.6743,,,,,,,,,15266.602,,,,844.92841,2212.24,,,993.72046,,4329.1963,5628.189,,,,,1198.6228,,,,,10350.82,11137.951,4652.5664,,3106.1602,10655.331,,1195.8031,,2497.7261,1737.4747,2592.4502,1769.6461,,3650.9734,,,,,,,,,,,,,,,,,,6000.3228,1146.0659,5138.8374,2488.448,,,,10698.393,18694.725,,2108.2534,,,932.36584,,7811.9756,,4854.5171,,,862.04968,,,11114.774,16798.568,7334.5942,,7321.1309,,,1493.6475,1822.1448
1958,,,,,,2907.3999,,,13733.637,8162.041,,,,,,,8456.3232,,,,,1688.3788,,,1956.1989,,,,,,,,12983.424,,,,,4712.7544,1160.0708,3296.4644,,,4535.8091,,,,3937.6812,,2679.2139,10574.749,,,2341.7034,3718.6213,623.82788,1829.4655,,,487.68448,,7573.916,9177.9521,,,,8472.2168,3518.9172,4751.2358,,2151.3979,,,,2089.5098,,,10683.835,981.2309,,3432.6265,,5417.0,7271.5903,5908.2593,4728.4097,4075.9973,2612.8481,,1608.6178,,,,,,,,,14674.871,,,,840.8526,2147.5176,,,1214.7357,,4100.644,5721.062,,,,,1244.6692,,,,,10161.542,11277.969,4542.6519,,3311.4531,10487.658,,1169.4067,,2481.4873,1800.0905,2492.5442,1781.6696,,3653.7668,,,,,,,,,,,,,,,,,,5863.355,1153.7533,5311.1001,2543.6331,,,,10894.359,17778.391,,2179.6792,,,929.62384,,8417.6865,,5205.5117,,,805.30377,,,11110.438,16344.845,6840.7212,,7412.1729,,,1424.2522,1765.5637
1959,,,,,,2693.7075,,,14318.362,8406.6279,,,,1356.1826,,,8665.5547,,1516.6963,,,1760.4386,,,1988.6837,,,,737.81073,,,,13189.26,,,,,4558.5083,1059.9395,3381.9724,,,4397.3906,,,,4113.7998,,2617.9146,11398.818,,,2536.1702,3814.6575,665.53326,1839.7947,,,509.78247,,8092.1567,9334.7559,,,,9131.1523,3980.9138,4893.0347,,2205.6919,2751.9348,,,2092.5842,,,10732.998,977.89484,,3767.6318,,5667.1563,7951.9736,6290.7671,4767.4688,4419.0586,2887.9744,,1518.262,,,,,,,,,14585.796,,,,797.0647,2234.8379,,,1345.5105,,4148.9404,5686.1992,,,,,1266.0723,,,,,10594.616,11566.386,4484.0977,,3577.0535,10661.563,,1228.4856,,2570.0952,1770.6136,2476.3862,1907.5098,,3829.1387,,,,,,,,,,,,,,,,,,5793.9976,1138.7772,5133.7441,2607.5303,,,,11468.05,18908.346,,2288.1082,,,998.40491,,8805.7051,,4925.2256,,,823.43701,,,11433.395,17258.064,6540.6875,,7469.6724,,,1573.5571,1936.2521
