Year,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,38.1
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,39.1
1975,21.6,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,,,,,,,18.3,,,39.9,37.6
1976,20.8,,,,,,,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,36.6,37.8
1977,18.4,,,,,,,,,,27.7,,,,,,,,,40.3,,,,,,,,,,,,,,,,,35.8,38.2
1978,19.8,,,,,,,,,,27.1,,,,,,,,,40.6,,,,,,,,,,,,,,16.6,,,37.5,39.0
1979,20.0,,,,,,,,,,27.2,,,,,,,,,41.3,,,,,,,,,,,,,,,,,38.3,37.6
1980,18.8,,,,,,,,,,26.6,,,,,,,,,41.7,,,,,,,,,,,,,,12.8,,,36.7,36.6
1981,18.3,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,15.2,,,35.4,35.2
1982,20.8,,,,,,,,,,26.0,,,,,,,,,42.2,,,,,,,,,,,,,,13.6,,,35.7,34.7
1983,19.2,,,,,,,,,,25.6,,,,,,,,,41.9,,,,,,,,,,,,,,14.5,,,34.6,34.3
1984,18.7,,,,,,,,,,23.4,,,,,,,,,41.9,,,,,,21.5,,,,,,,,15.9,,,35.1,33.4
1985,19.6,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,,,,52.8,,16.7,,,35.1,33.0
1986,18.8,,,,,,,,,,22.5,,,,,,,,17.2,41.6,,,,,,23.0,,,,,,,,15.1,,,34.9,32.2
1987,18.5,,,,,,,,,,23.6,,,,,,,,15.6,41.2,,,,,,,,,,,,,,14.7,,,34.5,31.0
1988,18.8,,,,,,,,,,23.0,,,,,,,,,41.0,,,,,,20.3,,,,,,,,17.5,,,34.0,30.1
1989,18.6,,,,,,,,,,23.6,,,,26.0,,,,11.1,41.0,,,,,,,,,,,,,,19.6,,,33.7,29.4
1990,18.2,,,,,,,,,,22.9,,,,,,,,,40.6,,,,,,17.1,,,,,,,,19.0,,,32.7,28.5
1991,16.0,,,,,,,,,,21.5,,,,,,,,10.0,39.9,,,,,,,,20.1,,,,,,19.3,,,31.1,26.6
1992,14.3,,,,,,,,,,20.3,,27.0,,17.4,,,,,38.9,,,,,,15.6,,17.2,,,,47.0,,19.0,,,29.9,25.1
1993,13.2,,,,,,,,,,22.0,,23.4,,7.9,,,,11.5,38.5,,,,,,,,20.0,,,,47.3,,18.7,,,28.7,23.9
1994,14.4,,,,,,,,,,23.1,,21.0,,15.2,,25.2,,,37.8,,,,,,13.3,,18.9,,,,45.5,,17.2,,,28.1,23.9
1995,14.5,,,,,,,,,,22.4,,20.0,,15.8,,,,14.6,37.1,,,,,,13.7,,20.1,,,,44.2,,18.8,,,28.2,24.6
1996,,,,,,,,18.3,,,20.6,,20.9,,17.8,,,,,36.8,,,,,,20.4,,20.5,,,,43.3,,16.4,25.5,,27.2,23.8
1997,15.3,,,24.7,,,,18.4,,,21.3,,21.5,,,,21.7,,,36.5,,,,,,12.7,10.1,18.6,,,,42.2,,16.7,,,26.9,23.8
1998,13.2,,,24.9,,,,,,,20.8,,21.2,,15.7,,,,7.7,35.3,,,,,,11.4,10.1,19.1,,,,42.0,,17.0,24.1,,27.0,23.7
1999,14.3,,15.2,24.0,,,,19.0,,,21.7,,21.0,,15.3,,,,,34.6,,,,,,8.3,10.1,17.6,,,,41.8,,16.8,,,26.1,23.5
2000,17.2,23.1,13.6,23.9,0.0,,,,,,20.4,,20.5,,14.1,,19.7,,8.5,33.9,,,,,,7.2,10.2,,,,,41.7,,15.5,23.8,,26.3,23.1
2001,14.3,22.8,13.2,24.3,,,,16.9,,,21.2,,19.2,,13.7,,,28.1,,33.9,,,,,,8.1,10.7,14.3,,,,40.4,,16.6,,,25.6,23.6
2002,15.0,24.5,11.6,24.0,,,,16.0,10.8,25.0,20.4,13.3,19.1,,9.1,,,24.5,10.3,32.5,18.9,14.6,15.1,,16.1,7.3,10.7,11.3,,20.4,9.4,41.0,17.2,15.9,22.8,,24.4,22.1
2003,13.0,21.1,15.2,22.5,0.0,,,15.6,9.9,,20.1,,20.4,,1.5,,19.7,24.6,,32.0,,,,,,7.7,10.2,,,20.7,,40.1,,16.0,,,24.1,20.6
2004,14.4,22.4,11.8,22.7,,,,16.1,10.2,,20.0,,22.5,13.9,3.0,19.2,18.2,25.5,6.7,31.1,,,,,,8.1,9.7,10.6,13.0,20.9,,39.6,,15.3,22.0,,23.4,19.6
2005,15.8,22.0,11.5,21.3,,,,15.9,10.2,,18.9,,17.3,16.7,4.0,13.2,13.8,22.4,,32.8,,,,16.7,,9.6,9.4,,16.0,20.1,,39.6,,14.4,,,22.1,19.0
2006,16.7,21.9,10.3,21.1,4.0,,,15.4,10.2,29.7,19.4,9.4,19.6,11.9,0.4,12.4,14.4,22.0,7.7,33.0,11.0,16.0,7.7,18.6,16.0,9.3,9.2,11.4,14.4,17.8,7.2,39.8,13.5,14.6,21.3,3.2,21.7,19.2
2007,15.4,21.6,9.9,20.8,,1.3,,16.9,9.9,,21.4,,17.1,11.6,3.6,15.9,18.0,21.2,,31.7,,,,12.5,,7.1,9.8,,15.3,17.5,,38.2,,16.4,,,21.6,19.8
2008,11.9,20.9,8.9,20.5,,1.7,,17.9,10.2,,21.2,,17.4,9.5,2.2,13.3,15.0,22.0,11.8,30.7,,,,22.2,,8.1,9.2,13.0,15.6,16.4,,39.0,,15.4,21.3,,21.9,20.1
2009,16.4,19.4,7.5,20.1,9.1,3.4,,15.1,10.2,,19.7,,17.0,9.6,3.9,16.0,14.9,20.3,,28.3,,,,16.7,,8.8,8.7,,13.8,16.4,,38.6,,14.9,,,20.7,19.8
2010,14.0,19.2,7.0,19.0,,6.4,0.0,15.8,8.9,27.8,18.9,9.1,16.8,12.2,6.4,14.3,12.8,20.7,9.9,28.7,19.1,10.6,4.6,11.6,17.9,7.0,8.1,7.2,13.5,14.9,1.0,39.6,13.5,14.3,20.1,3.1,19.2,18.8
2011,16.0,18.6,5.8,19.2,16.0,3.5,4.6,16.3,7.9,,18.6,,16.7,10.7,6.9,14.1,10.4,21.8,,27.4,,,,10.0,,4.5,7.8,,15.2,15.4,,36.6,,15.9,,,18.2,17.8
