Entity,Code,Death magnitude (PITF)
Afghanistan,AFG,3
Algeria,DZA,3.5
Angola,AGO,3.5
Argentina,ARG,1.5
Bosnia and Herzegovina,BIH,4
Burundi,BDI,3.5
Cambodia,KHM,5
Central African Republic,CAF,1
Chile,CHL,2
China,CHN,4.5
Democratic Republic of Congo,COD,2
El Salvador,SLV,2.5
Equatorial Guinea,GNQ,2
Ethiopia,ETH,1
Guatemala,GTM,0.5
Indonesia,IDN,5
Iran,IRN,1.5
Iraq,IRQ,4
Myanmar,MMR,2
Nigeria,NGA,4
Pakistan,PAK,5
Philippines,PHL,2
Rwanda,RWA,5
Somalia,SOM,3
Sri Lanka,LKA,3
Sudan,SDN,4
Syria,SYR,2.5
Uganda,UGA,3.5
Vietnam,VNM,3.5
Yugoslavia,OWID_YGS,1
,,
"The map here shows the magnitude of the total genocide or politicide deaths between 1955-2014 as recorded by the PITF. (Note that data for Yugoslavia had been omitted from the map.) The death magnitude is a non-linear scale developed by the PITF to classify the number of people killed in each episode, as shown in the table. In the map we sum across all episodes in this period: for countries that experienced multiple episodes of genocide, we use the midpoint of the magnitude range to calculate the sum. For more information please consult the codebook for the PITF or see the table beneath the map.",,
,,
Death Magnitude,Number of deaths,
0,Less than 300,
0.5,"300 – 1,000",
1,"1,000 – 2,000",
1.5,"2,000 – 4,000",
2,"4,000 – 8,000",
2.5,"8,000 – 16,000",
3,"16,000 – 32,000",
3.5,"32,000 – 64,000",
4,"64,000 – 128,000",
4.5,"128,000 – 256,000",
5,"More than 256,000",
