Year,Rwanda,Algeria,Belgium,Croatia,UK,Germany,Italy,Poland,France,USA,Armenia
1800,928368,2503218,3138137,1227886,12327466,22886919,18822234,9508747,29355111,6801854,413326
1801,928368,2512195,3152306,1227886,12483870,22983824,18887712,9552631,29447067,6933517,413326
1802,928368,2521203,3166538,1227886,12642258,23081140,18953419,9596718,29539311,7067728,413326
1803,928368,2530245,3180835,1227886,12802656,23178868,19019354,9641008,29631843,7204538,413326
1804,928368,2539318,3195197,1227886,12965089,23277009,19085518,9685503,29724666,7343995,413326
1805,928368,2548424,3209623,1227886,13129582,23375566,19151912,9730203,29817780,7486152,413326
1806,928368,2557563,3224114,1227886,13296163,23474540,19218538,9775109,29911185,7631061,413326
1807,928368,2566734,3238671,1227886,13464857,23573934,19285395,9820223,30004882,7778775,413326
1808,928368,2575939,3253294,1227886,13635691,23673748,19352485,9865545,30098874,7929348,413326
1809,928368,2585176,3267982,1227886,13808693,23773985,19419808,9911076,30193159,8082836,413326
1810,928368,2595056,3283959,1227886,14106058,23882461,19491674,9960687,30293172,8294928,413326
1811,928642,2604775,3299476,1228402,14301320,23995464,19562329,10008031,30393405,8461458,413506
1812,929191,2614945,3315795,1229439,14500244,24120997,19636105,10056977,30499974,8637266,413869
1813,930018,2625571,3332912,1231002,14702894,24258514,19712990,10107543,30612625,8822188,414415
1814,931124,2636656,3350824,1233095,14909411,24407472,19793068,10159747,30731442,9016100,415147
1815,932510,2648205,3369577,1235722,15119712,24568091,19876329,10213606,30856458,9218879,416066
1816,934180,2660224,3389119,1238889,15333999,24738969,19962810,10269139,30985993,9430398,417173
1817,936133,2672716,3409494,1242600,15551268,24918705,20052546,10326364,31120079,9650391,418471
1818,938372,2685686,3430748,1246861,15771669,25107565,20145575,10385299,31258751,9879049,419962
1819,940899,2699138,3452829,1251675,15995162,25304387,20241933,10445963,31402043,10116052,421646
1820,943716,2713079,3475782,1257048,16221883,25507768,20341608,10508375,31549988,10361646,423527
1821,946823,2727511,3499557,1262985,16451787,25717690,20444686,10572553,31700048,10619707,425605
1822,950225,2742441,3524149,1269490,16682172,25934798,20551155,10638517,31853161,10890141,427883
1823,953921,2757872,3549557,1276569,16912989,26159739,20661099,10706286,32007457,11172754,430361
1824,957913,2773810,3575823,1284227,17144281,26392682,20774506,10775879,32163920,11467399,433043
1825,962205,2790260,3602946,1292469,17375946,26635940,20891413,10847316,32322538,11773972,435930
1826,966797,2807226,3630921,1301300,17608039,26889160,21011856,10920617,32485056,12092272,439024
